Energy,Energy,mu/rho,
1.00E-03,1.000,4.65E+03,
1.50E-03,1.500,2.09E+03,
2.00E-03,2.000,1.14E+03,
2.21E-03,2.206,9.19E+02,
2.21E-03,2.206,9.97E+02,
2.25E-03,2.248,1.39E+03,
2.29E-03,2.291,2.26E+03,
2.29E-03,2.291,2.39E+03,
2.51E-03,2.507,2.38E+03,
2.74E-03,2.743,2.20E+03,
2.74E-03,2.743,2.54E+03,
3.00E-03,3.000,2.05E+03,
3.15E-03,3.148,1.82E+03,
3.15E-03,3.148,1.93E+03,
3.28E-03,3.283,1.75E+03,
3.42E-03,3.425,1.59E+03,
3.42E-03,3.425,1.65E+03,
4.00E-03,4.000,1.14E+03,
5.00E-03,5.000,6.66E+02,
6.00E-03,6.000,4.25E+02,
8.00E-03,8.000,2.07E+02,
1.00E-02,10.000,1.18E+02,
1.19E-02,11.919,7.58E+01,
1.19E-02,11.919,1.87E+02,
1.28E-02,12.794,1.55E+02,
1.37E-02,13.734,1.28E+02,
1.37E-02,13.734,1.76E+02,
1.40E-02,14.040,1.77E+02,
1.44E-02,14.353,1.59E+02,
1.44E-02,14.353,1.83E+02,
1.50E-02,15.000,1.64E+02,
2.00E-02,20.000,7.88E+01,
3.00E-02,30.000,2.75E+01,
4.00E-02,40.000,1.30E+01,
5.00E-02,50.000,7.26E+00,
6.00E-02,60.000,4.53E+00,
8.00E-02,80.000,2.19E+00,
8.07E-02,80.725,2.14E+00,
8.07E-02,80.725,8.90E+00,
1.00E-01,100.000,5.16E+00,
1.50E-01,150.000,1.86E+00,
2.00E-01,200.000,9.21E-01,
3.00E-01,300.000,3.74E-01,
4.00E-01,400.000,2.18E-01,
5.00E-01,500.000,1.53E-01,
6.00E-01,600.000,1.19E-01,
8.00E-01,800.000,8.60E-02,
1.00E+00,1000.000,6.95E-02,
1.25E+00,1250.000,5.79E-02,
1.50E+00,1500.000,5.17E-02,
2.00E+00,2000.000,4.57E-02,
3.00E+00,3000.000,4.20E-02,
4.00E+00,4000.000,4.17E-02,
5.00E+00,5000.000,4.24E-02,
6.00E+00,6000.000,4.36E-02,
8.00E+00,8000.000,4.63E-02,
1.00E+01,10000.000,4.93E-02,
1.50E+01,15000.000,5.60E-02,
2.00E+01,20000.000,6.14E-02,